title,suite_title,description,preconditions,priority,severity,layer,type,behavior,automation_status,status,steps_actions,steps_expected_result
TC-MAP-001 — Map page loads with container,Sprint 3 - Public Map/E2E Map,"Verify map page loads and map container renders. Requirement: MAP-001. JIRA: JB-55.","Frontend running at http://localhost:5173. Backend running.",critical,critical,e2e,smoke,positive,automated,actual,"Navigate to /peta page","data-testid=map-page visible, map-container present, no error state"
TC-MAP-001b — MapLibre canvas rendered,Sprint 3 - Public Map/E2E Map,"Verify MapLibre GL canvas element is created. Requirement: MAP-001. JIRA: JB-55.","Frontend and backend running.",critical,critical,e2e,functional,positive,automated,actual,"Navigate to /peta and wait for map load","canvas.maplibregl-canvas element exists in DOM"
TC-MAP-002 — Vessel markers render,Sprint 3 - Public Map/E2E Map,"Verify vessel markers render on map. Requirement: MAP-002. JIRA: JB-56.","At least one public vessel with position exists.",critical,critical,e2e,functional,positive,automated,actual,"Open /peta page","data-testid=vessel-marker elements count > 0, each has data-vessel-id"
TC-MAP-003 — Freshness legend visible,Sprint 3 - Public Map/E2E Map,"Verify freshness legend is displayed. Requirement: MAP-003. JIRA: JB-57.","Frontend running.",critical,critical,e2e,functional,positive,automated,actual,"Open /peta page","data-testid=freshness-legend visible"
TC-MAP-003b — All 4 freshness statuses shown,Sprint 3 - Public Map/E2E Map,"Verify legend shows LIVE, DELAYED, STALE, OFFLINE. Requirement: MAP-003. JIRA: JB-57.","Frontend running.",high,major,e2e,functional,positive,automated,actual,"Open /peta page and check legend items","freshness-item-LIVE, freshness-item-DELAYED, freshness-item-STALE, freshness-item-OFFLINE all present"
TC-MAP-004 — Vessel card opens on marker click,Sprint 3 - Public Map/E2E Map,"Verify clicking marker opens vessel card. Requirement: MAP-004. JIRA: JB-58.","At least one public vessel with position exists.",critical,critical,e2e,functional,positive,automated,actual,"Click a vessel-marker element","data-testid=vessel-card visible, vessel-card-name shows vessel name"
TC-MAP-004b — Vessel card closes on close button,Sprint 3 - Public Map/E2E Map,"Verify close button hides vessel card. Requirement: MAP-004. JIRA: JB-58.","Vessel card is open.",high,major,e2e,functional,positive,automated,actual,"Click vessel-card-close button","vessel-card no longer visible"
TC-MAP-005 — Empty state when no positions,Sprint 3 - Public Map/E2E Map,"Verify empty state shown when no positions. Requirement: MAP-001. JIRA: JB-55.","No public vessels have positions.",high,major,e2e,functional,negative,is-not-automated,actual,"Open /peta with empty positions data","data-testid=map-empty visible"
TC-MAP-006 — Error state with retry button,Sprint 3 - Public Map/E2E Map,"Verify error state shows retry button when API fails. Requirement: MAP-001. JIRA: JB-55.","Backend stopped or returns error.",high,major,e2e,functional,negative,is-not-automated,actual,"Open /peta with backend down","data-testid=map-error visible, map-error-retry button present"
TC-MAP-007 — Navigate from landing to map,Sprint 3 - Public Map/E2E Map,"Verify CTA on landing navigates to map. Requirement: FE-008. JIRA: JB-53.","Frontend running.",high,major,e2e,functional,positive,automated,actual,"Open / landing page, click data-testid=cta-view-map","URL changes to /peta, map-page visible"
TC-AUTH-001 — Admin login with valid credentials,Sprint 1 - Registry and Admin/Admin Auth,"Verify admin can login. Requirement: API-001. JIRA: JB-38.","Admin user exists in database.",critical,blocker,api,functional,positive,automated,actual,"POST /api/v1/admin/login with valid email+password","Status 200, success=true, token returned"
TC-AUTH-002 — Admin login rejects invalid credentials,Sprint 1 - Registry and Admin/Admin Auth,"Verify invalid credentials rejected. Requirement: API-001. JIRA: JB-38.","None.",critical,critical,api,security,negative,automated,actual,"POST /api/v1/admin/login with wrong password","Status 401, success=false, no token returned"
TC-AUTH-003 — Login rate limited at 5 per minute,Sprint 1 - Registry and Admin/Admin Auth,"Verify rate limit throttle:5,1 on login. Requirement: API-001 + SEC-002. JIRA: JB-38.","None.",high,major,api,security,negative,automated,actual,"POST /api/v1/admin/login 6 times rapidly","6th request returns 429 Too Many Requests"
TC-VESSEL-001 — Create vessel via admin API,Sprint 1 - Registry and Admin/Vessel CRUD,"Verify admin can create vessel. Requirement: API-002. JIRA: JB-39.","Admin authenticated.",critical,critical,api,functional,positive,automated,actual,"POST /api/v1/admin/vessels with valid payload","Status 201, vessel created with UUID"
TC-VESSEL-002 — Update vessel via admin API,Sprint 1 - Registry and Admin/Vessel CRUD,"Verify admin can update vessel. Requirement: API-002. JIRA: JB-39.","Vessel exists.",critical,critical,api,functional,positive,automated,actual,"PUT /api/v1/admin/vessels/{id} with updated fields","Status 200, fields updated"
TC-VESSEL-003 — Delete vessel via admin API,Sprint 1 - Registry and Admin/Vessel CRUD,"Verify admin can delete vessel. Requirement: API-002. JIRA: JB-39.","Vessel exists.",high,major,api,functional,positive,automated,actual,"DELETE /api/v1/admin/vessels/{id}","Status 200/204, vessel removed"
TC-VESSEL-004 — Admin vessel list with pagination,Sprint 1 - Registry and Admin/Vessel CRUD,"Verify admin vessel list paginates. Requirement: API-002. JIRA: JB-39.","Multiple vessels exist.",high,major,api,functional,positive,automated,actual,"GET /api/v1/admin/vessels?page=1&per_page=5","Status 200, pagination meta correct"
TC-VESSEL-005 — Verify vessel marks it VERIFIED,Sprint 1 - Registry and Admin/Vessel Verification,"Verify verify endpoint sets verification_status=VERIFIED. Requirement: API-003. JIRA: JB-40.","Vessel with REVIEW status exists.",critical,critical,api,functional,positive,automated,actual,"POST /api/v1/admin/vessels/{id}/verify","Status 200, verification_status=VERIFIED"
TC-VESSEL-006 — Reject vessel with reason,Sprint 1 - Registry and Admin/Vessel Verification,"Verify reject endpoint requires reason. Requirement: API-003. JIRA: JB-40.","Vessel with REVIEW status exists.",critical,critical,api,functional,negative,automated,actual,"POST /api/v1/admin/vessels/{id}/reject with reason","Status 200, verification_status=REJECTED, reason stored"
TC-VESSEL-007 — public_visible only for VERIFIED,Sprint 1 - Registry and Admin/Vessel Verification,"Verify public_visible cannot be true unless VERIFIED. Requirement: API-003. JIRA: JB-40.","Vessel with REVIEW status exists.",critical,blocker,api,security,negative,automated,actual,"Try to set public_visible=true on REVIEW vessel","Rejected or public_visible stays false"
TC-SEC-001 — Internal API requires valid token,Sprint 7 - Hardening/Security,"Verify internal endpoints reject invalid/missing token. Requirement: SEC-001. JIRA: JB-63.","Internal token configured.",critical,blocker,api,security,negative,automated,actual,"POST /api/internal/v1/positions without token and with wrong token","Both return 401 Unauthorized"
TC-SEC-002 — Public endpoints rate limited at 60 per minute,Sprint 7 - Hardening/Security,"Verify rate limit throttle:60,1 on public API. Requirement: SEC-002. JIRA: JB-64.","Backend running.",critical,critical,api,security,negative,to-be-automated,actual,"Send 61+ requests to /api/v1/vessels rapidly (via JMeter)","61st request returns 429"
TC-SEC-003 — CORS policy restricts origins,Sprint 7 - Hardening/Security,"Verify CORS only allows configured origins. Requirement: SEC-003. JIRA: JB-65.","Backend running with CORS config.",high,major,api,security,negative,to-be-automated,actual,"Send request with Origin header not in allowlist","Access-Control-Allow-Origin header not returned for disallowed origin"
TC-OPS-001 — Health monitoring shows worker status,Sprint 7 - Hardening/Ops,"Verify health endpoint reports worker heartbeat status. Requirement: OPS-004. JIRA: JB-66.","Worker heartbeat data exists.",high,major,api,functional,positive,is-not-automated,actual,"Check health/monitoring endpoint","Worker heartbeat status HEALTHY/DEGRADED/DISCONNECTED reported"
TC-MAN-001 — Manual checklist Sprint 3 map,Sprint 3 - Public Map/Manual,"Execute 40-step manual checklist: responsive, accessibility, network conditions, navigation. See tests/manual-checklists/sprint-3-map.md. JIRA: JB-72.","Frontend and backend running. Devices: desktop + mobile viewport.",high,major,e2e,exploratory,positive,is-not-automated,actual,"Follow manual checklist tests/manual-checklists/sprint-3-map.md","All 40 steps pass or issues logged as bugs"
